Reference,StrikeATMdiff,Forward_Rate,Volatility
EUR_6Y_1Y,-100,0.007539193699,0.00454373601570981
EUR_6Y_1Y,-75,0.007539193699,0.00464534147831045
EUR_6Y_1Y,-50,0.007539193699,0.00476082666177489
EUR_6Y_1Y,0,0.007539193699,0.00504216778178001
EUR_6Y_1Y,50,0.007539193699,0.00537354758215232
EUR_6Y_1Y,100,0.007539193699,0.00573931550529492
EUR_6Y_1Y,125,0.007539193699,0.0059313965954612
EUR_6Y_1Y,200,0.007539193699,0.00653226121295137
EUR_6Y_1Y,300,0.007536353878,0.00735712165836518
EUR_7Y_1Y,-175,0.009670982544,0.0045933578589701
EUR_7Y_1Y,-150,0.009670436434,0.00467942394792963
EUR_7Y_1Y,-125,0.009667555522,0.00475956743756324
EUR_7Y_1Y,-100,0.009667555522,0.0048435086347216
EUR_7Y_1Y,-50,0.009667555522,0.0050492521125321
EUR_7Y_1Y,0,0.009667555522,0.0053064238658399
EUR_7Y_1Y,50,0.009667555522,0.00560176869593665
EUR_7Y_1Y,100,0.009667555522,0.00593095635854705
EUR_7Y_1Y,125,0.009667555522,0.00610595714352037
EUR_7Y_1Y,200,0.009667555522,0.00665148408685789
EUR_7Y_1Y,300,0.009664956892,0.00740240590954901
EUR_8Y_1Y,-200,0.011601018416,0.00472706725268411
EUR_8Y_1Y,-175,0.011602903959,0.00479984264443494
EUR_8Y_1Y,-150,0.011602619359,0.00485916656020031
EUR_8Y_1Y,-100,0.011602619359,0.00501200611466296
EUR_8Y_1Y,-50,0.011602619359,0.00519873786802894
EUR_8Y_1Y,0,0.011602619359,0.00543363028866118
EUR_8Y_1Y,50,0.011602619359,0.00570406374143007
EUR_8Y_1Y,100,0.011602619359,0.00600325073884237
EUR_8Y_1Y,125,0.011602619359,0.00616205485842125
EUR_8Y_1Y,200,0.011602619359,0.00666399231124659
EUR_8Y_1Y,300,0.011599255271,0.00736236634448178
EUR_9Y_1Y,-200,0.01300145481,0.00486235090033787
EUR_9Y_1Y,-175,0.012997948924,0.00493351502597436
EUR_9Y_1Y,-150,0.012995470555,0.00499396794085683
EUR_9Y_1Y,-100,0.012995470555,0.00514172537943921
